,name,description,id,category
37,RADAR Canada,"All the Canadian artists you need to hear this month, handpicked by our curators. Cover: Idman",37i9dQZF1DX5WmphwNfZfk,radar
38,Radar Andinos,Celebramos la Generación 2021 de Radar Andinos con el Spotify Single de Blessd.,37i9dQZF1DXbzFWXFlsp56,radar
39,RADAR Philippines,Discover new artists on the horizon. Cover: allen&elle,37i9dQZF1DWVp4cWdnm5ws,radar
40,RADAR Thailand,ค้นพบที่สุดศิลปินรุ่นใหม่ของประเทศไทยได้ที่นี่. ศิลปิน: LUSS,37i9dQZF1DX4Q8j1DJOWem,radar
41,RADAR Vietnam,"Khám phá thế hệ nghệ sĩ mới, những cái tên cần được biết đến của làng nhạc. Ảnh bìa: 
Juky San",37i9dQZF1DX0dUsjwqfaGM,radar
42,RADAR Centro & Caribe,Descubre los nuevos talentos de Centroamérica y el Caribe. ,37i9dQZF1DWWyiRTvabqLE,radar
43,RADAR BNLX,Exciting artists on the RADAR from the Benelux and beyond. Cover: Emma Bale,37i9dQZF1DXaxwXKCsImRe,radar
44,Radar España,Descubre hoy a los artistas de mañana. Foto: Belén Aguilera,37i9dQZF1DX2KWq7Xwva8j,radar
45,Tokyo Super Hits!,日本のポップシーンを彩る最新ベスト50。毎週月曜日更新。Cover: Ado,37i9dQZF1DXafb0IuPwJyF,j_tracks
46,New Music Wednesday,"Ado、緑黄色社会、¥ellow Bucks & more! 今週も話題の新曲を最速で。
Cover: サカナクション *SPICE記事は<a href=""https://spice.eplus.jp/articles/298174"">こちら</a>",37i9dQZF1DWYBDycFJuxRt,j_tracks
47,+81 Connect：J-Hiphopの「今」と「その先」,J-Hiphop カルチャーの「今」と「その先」を繋ぐプレイリスト。cover: WILYWNKA,37i9dQZF1DX0Eftsfm2dbT,j_tracks
48,RADAR: Early Noise 2022,"Spotifyが注目するニューカマー・プレイリスト, ""RADAR: Early Noise 2022"" 発表！Cover: 菅原圭",37i9dQZF1DX4OR8pnFkwhR,j_tracks
49,Tokyo Rising,Spotify Japan proudly introduces the freshest and most talented Japanese artists to the world.,37i9dQZF1DWX9u2doQ8Q2L,j_tracks
50,J-Rock Now,日本ロックシーンの最新話題曲をひとつのプレイリストに。cover: 緑黄色社会,37i9dQZF1DX6ntWKaOqGAp,j_tracks
51,Teen Culture,今、日本のティーンエイジャーに聴かれている話題曲をひとつのプレイリストに。cover: ¥ellow Bucks,37i9dQZF1DX8XStIuaEA9J,j_tracks
52,Women's Voice,日本の女性アーティストの歌を特集。cover: にしな,37i9dQZF1DWTD6tHjIApT3,j_tracks
53,Dance Pop: Japan,様々なダンスミュージックを積極的に取り入れた、日本のポップシーンの話題曲をピックアップ。cover: THE RAMPAGE from EXILE TRIBE,37i9dQZF1DXahYFr91pFvG,j_tracks
54,Edge!,The freshest indie sounds from Japan. Cover: odol,37i9dQZF1DX3UWlNiixH0j,j_tracks
55,ブルーにこんがらがって,たった独りでメロディーと言葉を紡ぐシンガーソングライター。Cover: 崎山蒼志,37i9dQZF1DWYhe5ISqq2D1,j_tracks
56,Soul Music Japan,日本の現行ソウルミュージックを一つのプレイリストに。cover: Bialystocks,37i9dQZF1DX7NPTn8GFbox,j_tracks
57,キラキラポップ：ジャパン,独自の進化を遂げる日本のポップ文化。「キラキラポップ」なナンバーをひとつのプレイリストに。Curated by ふくりゅう（音楽コンシェルジュ）Cover: フレデリック,37i9dQZF1DWVlypmfyCIGr,j_tracks
58,メランコリー - Ballads in Blue-,悲しい気持ち。せつない気持ち。J-Trackの極上バラードを一つのプレイリストに。,37i9dQZF1DX8uXskvQ4xo7,j_tracks
59,City Pop: シティ・ポップの今,再び脚光を浴びる日本のシティ・ポップの今をお届けします。,37i9dQZF1DXdY5tVYFPWb2,j_tracks
60,Punk Japan,The legendary classics meet the newest cutting edge. This is Japanese punk. Cover: SHANK,37i9dQZF1DX7uwh9GrVLfz,j_tracks
61,Authentic Covers,時代が変わっても様々なアーティストによって歌い継がれていく日本の名曲。豪華なアーティストによるカバー集。Cover: Tokimeki Records,37i9dQZF1DWXAob3m4ESEB,j_tracks
62,She Rocks,Japanese female rock icons. Cover: SCANDAL,37i9dQZF1DX59CyY8YTix2,j_tracks
63,Boys Group Japan,日本で活躍するボーイズグループを特集。cover: ONE N' ONLY,37i9dQZF1DX4eP5ZmHlyY0,j_tracks
64,アイドルポップ：ジャパン,"日本独自のポップカルチャー=アイドル。""楽曲推し""でお届けします。Cover: CYNHN",37i9dQZF1DX8PLev4Ol7Ml,j_tracks
65,Rock Anthems Japan 90s,音楽史に名を刻んだ1990年代Japan Rockの名曲をひとつのプレイリストに。,37i9dQZF1DXcpehQnGbWYD,j_tracks
66,夕方ジェネレーション,"理由のない焦り、苛立ち。わけもなく叫びたくなる。思春期を過ごす全てのティーンに贈る、帰り道の応援歌。Illustration by <a href=""https://twitter.com/hoshieri7"">北村英理</a>(Eri Kitamura)",37i9dQZF1DXdxPR0maUKqu,j_tracks
