,0
339,popculture ライオン・キング ディズニーが贈る“超実写版”キング・オブ・エンターテイメント「ライオン・キング」のオフィシャルプレイリスト。
340,popculture 深夜の音楽食堂 FMヨコハマ　火曜深夜２４時３０分から放送中　これまでの選曲集から新たなお気に入り曲まで、松重豊がプレイリストを更新中！
341,"popculture J-WAVE POP OF THE WORLD [HOT TUNES!!!] ハリー杉山・長濱ねる・スタッフがオススメする【HOT TUNES!!!】J-WAVE 81.3FM Every Sat 6:00am-8:00am Instagram : <a href=""https://www.instagram.com/popjwave/"">https://www.instagram.com/popjwave/</a> Twitter : <a href=""https://twitter.com/pop_813"">https://twitter.com/pop_813</a>"
342,"popculture Music From Novels 2 音楽との親和性が強い村上春樹の文学。このプレイリストでは村上作品に登場する音楽を作品に分けて紹介します。特集：村上春樹「ノルウェイの森」<a href=""https://twitter.com/SpotifyJP"">#Spotifyはじめました</a>"
343,"popculture Curated by FRIENDSHIP. 「FRIENDSHIP.」のSpotify Music Playlistです。FRIENDSHIP.がサポートしているアーティストのニューリリース&amp;レコメンドソングを毎週更新中。This Spotify Playlist is made by FRIENDSHIP., digital distribution and promotion service of the company HIP LAND MUSIC. It is updated weekly with new releases and recommended songs from artists supported by FR"
344,"decades 令和ポップス 2019年に幕を開けた令和。ストリーミングや動画サイトでのバイラルが影響力を増し、社会情勢や価値観が激動している""ニューノーマル""な時代のポップミュージック。"
345,decades 平成ポップヒストリー 平成元年(1989年)〜30年(2018年)のヒット曲を年代順にお送りします。CDのミリオンヒット、着うた、ダウンロード、音楽フェス、そしてストリーミング時代へと駆け抜けた30年間を総括。
346,decades 昭和ポップス 再び脚光を浴びる「昭和ポップス」。フォーク、アイドルソング、テクノ歌謡、シティポップ、そして歌謡曲。世代を問わず家族でヒット曲を口ずさむことができた黄金の時代。
347,decades トップ10年代ソング 2021 2021年、Spotifyで最も再生された10年代ソングの年間ランキング。
348,"decades トップ00年代ソング 2021 2021年、Spotifyで最も再生された00年代ソングの年間ランキング。
"
349,decades トップ90年代ソング 2021 2021年、Spotifyで最も再生された90年代ソングの年間ランキング。
350,"decades My Generation: '90s バブル景気の爆発→崩壊という激動の時代の中で、華やかに咲き誇った90年代音楽。""小室ブーム""をはじめとするメガヒットの連発, 先鋭化したヒップホップ、グランジ、そしてスパイス・ガールズのようなポップグループも出現した時代。"
351,decades My Generation: '00s 音楽フェスの活性化、iTunes Storeの日本展開開始、動画サイトの台頭、着うた等、音楽体験が劇的に変わった2000年代。HIPHOPのポップス化、カバーブーム、泣き歌ブームも象徴的な時代。
352,"decades My Generation: '10s EDM, ヒップホップが人気ジャンルとして成立し、CDの売り上げよりライブが重視され、音楽ストリーミングの活性化によりローカルアーティストが国境を超え世界にリーチするケースが増えた激動の時代。"
353,decades トップ80年代ソング 2021 2021年、Spotifyで最も再生された80年代ソングの年間ランキング。
354,decades My Generation: '80s 多様化していた80年代の日本音楽シーン。初頭はテクノがあり、後半はバンドブームがあり、そしてディスコ音楽があり、また松田聖子や中森明菜等アイドルポップスも隆盛を誇った。
355,decades All Out 2010s The biggest songs of the 2010s.
356,decades 昭和歌謡 時代が移り変わっても歌い継がれる昭和の歌謡曲。
357,decades Rock Anthems Japan 10s 2010年代 J-Rockの名曲をひとつのプレイリストにコンパイル。
358,decades Rock Anthems Japan 90s 音楽史に名を刻んだ1990年代Japan Rockの名曲をひとつのプレイリストに。
359,"decades Rock Anthems Japan 80s 音楽史に名を刻んだ1980年代Japan Rockの名曲をひとつのプレイリストに。
"
360,decades My Generation: '70s フォークソングからニューミュージック全盛へと変遷していった70年代。後半は、カラーテレビの普及と共にお茶の間に音楽が浸透、「ザ・ベストテン」などの人気番組が登場。
361,"decades Rock Anthems Japan 00s 2000年代 J-Rockの名曲をひとつのプレイリストにコンパイル。
"
362,"decades Anime Rewind '10s The hottest Anime hits of the 10s. 2010年代のアニメシーンを特集！Illustration by <a href=""https://www.instagram.com/hideyasu_moto/""> Hideyasu Moto</a>"
363,"decades Anime Rewind '00s The hottest Anime hits of the 00s.  2000年代のアニメシーンを特集！Illustration by <a href=""https://www.instagram.com/hideyasu_moto/""> Hideyasu Moto</a>"
364,decades Party Hits 2010s The biggest party hits of the 2010s. Cover: Pitbull.
365,"decades Anime Rewind '90s The hottest Anime hits of the 90s. 1990年代のアニメソングを特集。Illustration by <a href=""https://www.instagram.com/hideyasu_moto/""> Hideyasu Moto</a>"
366,decades +81 Connect GOLD : 20's J-Hiphop Hits J-Hiphopの「今」と「その先」をつなぐ、2020年代を象徴するヒット曲を特集。
367,decades All Out 80s The biggest songs of the 1980s.
368,decades Soft 10s Mellow songs from the 2010s.
369,decades City Pop '80s Explore the dazzling sound of Japanese City Pop from the ‘80s./ 都会の夜をクルージング、週末は海辺でリゾート気分。煌めきに満ちた毎日を彩った、黄金期のシティポップ 。
370,decades All Out 90s The biggest songs of the 1990s. Cover: Janet Jackson.
371,decades トップ70年代ソング 2021 2021年、Spotifyで最も再生された70年代ソングの年間ランキング。
372,"decades Anime Rewind '80s The hottest Anime hits of the 80s. 1980年代のアニメソングを特集。Illustration by <a href=""https://www.instagram.com/hideyasu_moto/""> Hideyasu Moto</a>"
373,decades 10s Love Songs Unforgettable love songs from the 2010s.
374,decades 80s Love Songs The most unforgettable love songs from the 80s.
375,decades Deep Dive: 10s Pop Digging deep into the history of 10s pop.
376,decades City Pop '70s Discover the amazing world of Japanese City Pop from the ‘70s./ ニューミュージックとも一線を画す、都会的で洗練された音楽＝シティポップ の誕生。黎明期の輝きは永遠に。
377,decades City Pop '90s Get fascinated by Japanese City Pop from the ‘90s with Shibuya-kei flavor./ シティポップの発展が渋谷系へと向かう。多幸感に溢れる時代の空気と共に、モードな再構築が新たなカルチャーを生んだ。
378,decades All Out 2000s The biggest songs of the 2000s.
379,decades #Throwback Thursday Japan: 2008年のヒット曲 今週の#TBTは、2008年を特集。■ 流行語：「グ〜!」（エド・はるみ）、「アラフォー」■ 『そばにいるね』（青山テルマ feat.SoulJa）『LIFE』（キマグレン）がヒット ■大河ドラマ『篤姫』が大きな話題に。
380,"decades All Out 60s The biggest songs of the 1960s.
"
381,decades 90s Rock Anthems These songs rocked the 90s. Cover: Nirvana
382,decades Soft 80s Mellow songs from the 1980s.
383,"decades All Out 70s The biggest songs of the 1970s.
"
384,decades Party Hits 2000s The biggest party hits of the 2000s. Cover: Shakira. 
385,decades Soft 70s Mellow songs from the 1970s.
386,decades City Pop '00s Cruise through Japanese “Neo” City Pop from the ’00s./ 渋谷系の系譜から、ボーダーレスに多様化に向かっていった’00年代。ネオ・シティポップ新時代の波はすぐそこに。
387,decades Acoustic Hits: Oldies but Goodies Instant classics from over the years loaded into one sweet mix.
388,decades K-Pop Generations The K-Pop idols who started it all from 90's - 10's. (90년대부터 2010년대까지 케이팝 아이돌 필수곡들을 즐겨보세요!)
389,decades Soft 00s Mellow songs from the 2000s. Cover: Rihanna.
390,"decades ’80s Hard Rock Hair goals, spandex and epic guitar solos. We got you. Celebrating the life and legacy of Eddie Van Halen."
391,decades All Out 50s The biggest songs of the 1950s.
392,decades Soft 90s Mellow songs from the 1990s. Cover: Boyz II Men.
393,decades Easy 70s Ease back in time with the help of these seventies classics...
394,"equal EQUAL Global Listen to women from all over the world, at full volume. Cover: Manizha"
395,equal EQUAL Japan 女性の持つパワーや可能性を最大限に引き出していくプログラム「EQUAL」。今月のアーティスト: Maika Loubté
396,equal EQUAL Russia Слушай российских исполнительниц на полной громкости. На обложке: Manizha
397,"equal EQUAL US Listen to female-identifying only grooves alongside <a href=""spotify:artist:0PpiNNCSKFjchmyHuCe0Pj"">Nnena's</a> personal picks Cover: Nnena"
398,"equal EQUAL Africa The fiercest African women making waves. Cover: <a href=""https://open.spotify.com/artist/21UPYSRWFKwtqvSAnFnSvS?si=s0zvcnIaTQapSs1oEuGkyw""> Amaarae </a>"
399,equal EQUAL Korea 한국 여성들의 목소리가 담긴 플레이리스트를 감상해보세요. (커버: 청하)
400,equal EQUAL Singapore & Malaysia Listen to women from Singapore and Malaysia at full volume. Cover: Vanessa Reynauld
401,"equal EQUAL India Listen to Indian women, at full volume. Cover:   Shashaa Tirupati"
402,equal EQUAL Taiwan 一起來支持女性音樂人的精采表現！Cover: ?te 壞特
403,equal EQUAL Vietnam Cùng tôn vinh tài năng và âm nhạc của những nữ nghệ sĩ Việt. Ảnh bìa: Mỹ Tâm
404,equal EQUAL Hong Kong 一起感受香港製造的女聲力量！(cover: AGA)
405,equal EQUAL Colombia ¡Mujeres colombianas a todo volumen! En portada: Catalina García (Monsieur Periné)
406,"equal EQUAL GSA ""Women at full volume"" - Höre hier Künstlerinnen aus Deutschland, Österreich und der Schweiz. Cover: Nina Chuba"
407,"equal EQUAL Portugal Ouve estas extraordinárias mulheres artistas portuguesas, como Rita Vian, com o volume no máximo"
408,equal EQUAL CZ&SK Ženy v plné síle. Poslouchej EQUAL CZ&SK. Cover: Elis Mraz
409,equal EQUAL Italia Ascolta a tutto volume queste straordinarie artiste italiane! Cover: Annalisa
410,equal EQUAL Greece Listen to Greek women at full volume. Cover: Eleonora Zouganeli
411,equal EQUAL Netherlands Women at full volume! Luister naar muziek van vrouwen uit Nederland. Cover: MEAU
412,"equal EQUAL UK & Ireland Women who define the past, present and future of music. Listen at full volume. Cover: Wet Leg"
413,"equal EQUAL Argentina Emilia y más mujeres, a todo volumen."
414,"equal EQUAL Chile Tomasa del Real y más mujeres, a todo volumen."
415,equal EQUAL Centro & Caribe Mujeres de Centroamérica y el Caribe a todo volumen. Foto: YEИDRY
416,"equal EQUAL Canada Listen to women in Canada, at full volume. Cover: MacKenzie Porter"
417,"equal EQUAL Belgium Listen to women from Belgium, at full volume. Cover: MEYY"
418,equal EQUAL Polska Wyjątkowe polskie artystki na jednej playliście. Słuchaj kobiet na cały głos! Cover: DZIARMA
419,equal Women's Voice 日本の女性アーティストの歌を特集。cover: にしな
420,equal She Rocks Japanese female rock icons. Cover: SCANDAL
421,equal Girl On Fire 女性ポップアイコンの名曲を一つのプレイリストに。cover: Avril Lavigne
422,"equal アイドルポップ：ジャパン 日本独自のポップカルチャー=アイドル。""楽曲推し""でお届けします。Cover: CYNHN"
423,equal Women of Pop Kick back with the queens of pop.
424,"equal Women of Hip-Hop Some of the most influential and innovative voices in hip-hop—yesterday, today, tomorrow. Cover: Saweetie & Doja Cat"
425,equal Women of Rock These women rock our worlds with their music and influence. Cover: Stevie Nicks
426,equal Women of Indie Some of the most mesmerizing voices and masterful musicians of indie. Cover: FKA Twigs
427,"equal Women of R&B A musical celebration of women in R&amp;B, from its earliest acts to its newest stars. Cover: Aretha Franklin"
428,equal Women of the Blues The greatest female voices in blues today. Cover: Bettye LaVette
429,"equal Women of K-Pop From sultry vocalists, sexy divas to cutesy girl-groups, the women of K-Pop are a formidable force to be reckoned with. (Cover: YUJU)"
430,"equal Women of Folk Dive into the history of folk and roots music—from Americana icons to roots rock, singer-songwriter, and indie folk favorites. Cover: The Staves"
431,equal Women of Jazz Trace the history of jazz from timeless classics to boundary-breaking contemporary favorites. Cover: Diana Krall
432,equal Women of Electronic Celebrating women at the centre of innovation in electronic music. Cover: Octo Octa
433,equal Women of Country The extraordinary women making great country music today.  Cover: Tenille Arts
434,equal Women of Classical Celebrate the great women composers who continue to transform the classical world. Cover: Hania Rani and Dobrawa Czocher
435,"equal Created by Women Highlighting <a href=""http://noteable.spotify.com"">Noteable</a> songs that are 100% written, produced, and performed by women! Cover: <a href=""https://open.spotify.com/artist/3Mgv0bbH3V7s7c3ddUyC1y?si=vMpAwRm7RQqcoN7yEmku6g&nd=1"">MASUMI</a>, <a href=""https://open.spotify.com/artist/0O66QHPs08luarCKRfo5ys?si=RvceOVkQS_uNAwak49f29A"">So Wylie</a>"
436,"equal Dope AF Dope, Asian, and Femme. Cover: Jaguar Jonze"
437,equal fem. A new generation making their own rules. Cover: Yoss Bones
438,equal Door Knockers Classics from trailblazing women in hip-hop. Cover: Lil' Kim
439,"equal Fierce Femmes These women are on the rise, and are rocking our worlds right now / Cover: Siiickbrain"
440,equal badass killer songs from badass artists. Cover: Snail Mail
441,equal SAWTIK They will be heard. Discover strong female voices from the Arab World. Cover: Dana Salah.
442,equal Girl Krush All your girl crushes(걸크러쉬) in one place. Cover: MOONBYUL(문별)
443,equal Queens of Disco The most definitive female voices in Disco. Cover: Chaka Khan
444,"ambient Ambiente The home of today’s cutting edge Ambient, Atmospheric and Neo Classical music. Biosphere on cover."
445,ambient Ambient Essentials All the greatest Ambient tracks in one place. Cover: Brian Eno
446,ambient Ambient 1990s Re-live the glory of Ambient from the 1990s. 
447,ambient Early New Age Find the path back to an era of enlightenment.
448,"ambient Fresh Finds Experimental The best new experimental music by independent artists and labels. Updates every Wednesday. Cover: RUMTUM, Artwork: Thami Nabil"
449,ambient Exospheres Explore the inner worlds floating in the imagination of experimental Ambient music producers.
450,"ambient Music for Plants Mellow vibrations for green leaves, green thumbs and green ears."
451,ambient First Light Sunlight! The most precious gold to be found on Earth.
452,ambient Postcards From Japan A celebration of contemporary Ambient music produced by Japanese artists. 
453,ambient Nordic Noir Hymns for darker hours.
454,kpop K-Club Party Let's party & clubbing with your favorite K-pop dance hits!! (Cover: VICTON(빅톤)) [지금 가장 핫한 댄스곡들을 만나보세요.]
455,kpop K-Pop Daebak Score all the hottest hits from your favourite hallyu star and check out your one true K-Pop playlist! #kdaebak Cover: Wanna One
456,kpop K-Pop Fresh 最先端のK-Popをピックアップ！// The freshest K-Pop of today! cover: PENTAGON
457,kpop Girl Krush All your girl crushes(걸크러쉬) in one place. Cover: MOONBYUL(문별)
458,"kpop 歌うK-Pop - Sing-Along - Spotifyの新機能シンガロングを使って、いっしょにK-Pop！(歌詞ページ左下の🎤ボタンを押してシンガロングをお楽しみください)

"
459,"kpop Women of K-Pop From sultry vocalists, sexy divas to cutesy girl-groups, the women of K-Pop are a formidable force to be reckoned with. (Cover: YUJU)"
460,kpop K-Pop On Replay K-Popのロング&メガヒット曲をまとめて楽しもう。 cover: BTS
461,"kpop Satang Mix Max out your sugar content with these pure and aegyo tracks from our favorite ladies. Cover: fromis_9 (상큼하고 발랄, 청순한 여아이돌의 세계에 빠져보세요!)"
462,kpop KimBops! Rolling with the 'bops' in your Kimbap. Bringing you the songs that are currently trending and everything else in between. Cover: ENHYPEN
463,kpop TrenChill K-R&B Trendy & Chill 한국 R&B. Be laid-back with groovy K-R&B. (Cover: Whee In(휘인))
464,kpop Hallyu Boy Bands Is it your favorite oppa or dongsaeng? Cover: T1419 [당신의 최애 아이돌 보이 그룹은 어떤 그룹인가요?]
465,kpop New Music K-Pop 신곡 배달! The freshest K-Pop releases are here! (Cover: NATURE(네이처)) (신선한 국내 최신곡들을 플레이리스트로 만나보세요.)
466,kpop K-Pop Rising Future K-Pop hits! Cover: PENTAGON
467,kpop Best of Korean Soundtracks Relive your favourite K-Drama moments with these classic soundtracks.
468,kpop This Is NCT 127 NCTzens! Sticker is here!
469,"kpop K-Pop X-Overs Watch out for all the collaborations and cross-overs in the K-Pop world! Cover: JAMIE, 22Bullets"
470,"kpop K-Pop Ballad Hits Mellow & sentimental K-Pop ballads. (Cover: KYUHYUN(규현)) (당신의 감성에 발라드, 려요)"
471,kpop Millennium K-Pop Listen the 00's best collection of K-Pop dance. (Cover: 2NE1) (2000년대를 수 놓았던 케이팝 댄스곡들을 즐겨보세요!)
472,kpop K-Hip-Hop +82 Representin' +82 Korean Hip-Hop's sickest rhymes and beats. (Cover: Coogie(쿠기)) (한국힙합을 대표하는 곡들을 만나보세요!)
473,"kpop This Is BoA Jumping BoAs, Our Beloved BoA is here and BETTER than ever!"
474,kpop TrenChill K-Hip Hop Trendy x Chill K-Hip Hop.  (Cover: ASH ISLAND) (트렌디 x 칠! 세련되고 듣기 편한 힙합음악들을 즐겨보세요.)
475,kpop RADAR Korea Unearthing up-and-coming Korean acts. Cover: Billlie
476,kpop v o K a l Meet Korea's representative eardrum boyfriend & girlfriend vocals. (Cover: Def.) (한국을 대표하는 고막남친 & 고막여친 보컬들을 만나보세요.)
477,kpop K-Pop Generations The K-Pop idols who started it all from 90's - 10's. (90년대부터 2010년대까지 케이팝 아이돌 필수곡들을 즐겨보세요!)
478,"kpop K-Pop Duets Ready for some sweet harmony or explosive combination of your favourite couple or troublemakers. (Cover: Lee Young Ji, Layone(이영지, 래원))"
479,kpop Nolja! Time to press play on these jaem jams from 2010 onwards! Cover: TOMORROW X TOGETHER
480,kpop In The K-Indie Let's fall into the K-인디 tracks from Korea's thriving indie scene. (Cover: BULGOGIDISCO) (최신곡을 포함한 국내 인디곡들을 만나보세요!)
481,kpop Top K-Pop Artists of 2019 Top of the top hits this year! Cover: TWICE
482,kpop Morning K-Pop! Everyday should be a happy day when you listen to this fun K-Pop playlist.
483,kpop Cool K'IDs Rock K'ID = Korean ID. Welcome to the K-Rock anthem! (Cover: verycoybunny(베리코이버니)) (핫한 국내 록음악을 만나보세요!)
484,kpop This Is HyunA The sexy queen! Check out HyunA's music.
485,kpop Korean OST Instrumentals Enjoy your favourite K-drama's OST instrumentals.
486,kpop Top K-Pop Tracks of 2O2O Top of the top hits from Korean Pop Artists! Cover: BTS
487,kpop This Is LOONA Welcome to the LOOΠΔverse. Are you making an 'Orbit' around LOOΠΔ?
488,kpop This Is SUNMI Listen Heroine's music 24 Hours.
489,kpop A Decade in K-Pop It's been a great decade for K-Pop. Check it out! Cover: Super Junior
490,"kpop Best of 2018: K-Pop Top of the top hits from Korean Pop Artists! Cover: <a href=""spotify:artist:41MozSoPIsD1dJM0CLPjZF"">BLACKPINK</a>"
491,kpop This is BAEKHYUN Listen BAEKHYUN's all solo tracks here.
492,"kpop This Is AB6IX ""Absolute Six"" and also ""Above BrandNew Six""."
493,kpop This Is DAY6 It's a good day to be a My Day!
494,kpop Tropical K-Pop Be cool with refreshing Tropical K-Pop dance music! (시원청량한 국내 댄스곡을 즐겨보세요!) (Cover: Hyolyn x Dasom)
495,"kpop Show Me The Money (쇼미더머니) All songs from South Korean hip-hop TV show 'Show Me The Money(쇼미더머니)', Cover: Gwangil Jo(조광일) - SMTM10 Winner"
496,kpop Best Korean OSTs of 2019 Time to reminisce your favourite Korean drama scenes in 2019. Cover: Hotel Del Luna
497,kpop Dalkom Mukbang (달콤먹방) Enjoy your happy eating time with Korean theme! (사랑스러운 음악들과 행복한 식사 시간을 가져보세요!) (Cover: Stray Kids(스트레이 키즈))
498,kpop Workday K-Pop Why so serious? Get through your workday with K-Pop. (내적댄스 유발 노동요와 함께 신나는 업무시간을 보내세요!)
499,kpop 4:00 AM GROOVE 새벽 감성. Issa Vibe.
500,kpop This Is NU'EST Feel 'New Establish Style Tempo' in here.
501,kpop So Kool Driving Tap your feet to the K-Pop beats on your way through the driving moments. (시원한 국내음악들과 드라이빙을 즐겨보세요!)
502,kpop K-Pop Daebak Presents: Best K-Pop Songs of 2O2O Top of the top tracks in K-Pop Daebak playlist this year! Cover: ITZY
503,kpop Best Korean OSTs of 2020 Time to reminisce your favourite Korean drama scenes in 2020. Cover: ITAEWON CLASS
504,"edm_dance mint Japan 世界中で話題のエレクトリニック・ダンスミュージックを一つのプレイリストに！cover: Topic, Robin Schulz, Nico Santos, Paul van Dyk"
505,edm_dance Electropolis 日本のエレクトロミュージックの最先端に立つアーティストを特集！Cover: MONDO GROSSO
506,edm_dance Tokyo Club Beat トウキョウ・クラブビート。今BUZZっているクラブミュージックをひとつのプレイリストに！
507,edm_dance Remix Hits Remixed hits from the past.
508,"edm_dance Dance Hits All the <a href=""spotify:genre:edm_dance"">big ones</a> with Luude."
509,"edm_dance Chill Tracks Softer kinda <a href=""spotify:genre:edm_dance"">dance</a>, with hand-curated picks from Lane 8. "
510,"edm_dance Dance Party <a href=""spotify:genre:edm_dance"">Move</a> your feet!"
511,"edm_dance Deep House Relax Forget it and disappear with chill <a href=""spotify:genre:edm_dance"">house</a>."
512,"edm_dance mint The world's biggest dance hits. Featuring new music from Disclosure & Zedd, The Chainsmokers, Grimes & more!"
513,edm_dance Chilled Dance Hits The softer side of dance.
514,"edm_dance Pop Remix Remixed pop and <a href=""spotify:genre:edm_dance"">dance</a> collabs. Cover: Dua Lipa & Elton John."
515,"edm_dance Housewerk <a href=""spotify:genre:house"">House</a> music lives here. United in one house. Cover: Honey Dijon"
516,edm_dance EDM Samplings Create the new vibe by mixing in the retro sounds.
517,edm_dance Big Room Dance Big rooms and big sounds. Cover: Quintino
518,"edm_dance Hype Aggressive trap and bass for the <a href=""spotify:genre:edm_dance"">gym</a>."
519,"edm_dance Brain Food <a href=""spotify:genre:space:electronica_chill"">Hypnotic electronic</a> for studies and a relax."
520,edm_dance Future Funk Dance yourself back in time with these 80s sampled futuristic rhythms. Welcome to the future of funk.
521,edm_dance Lo-Fi House Distorted and rough around the edges.
522,edm_dance Altar The home for alternative electronic music. Cover: Leon Vynehall
523,"edm_dance Electro Mix A selection of new, quality electro sounds from your favorite EDM acts! Cover: The Chainsmokers"
524,"edm_dance Heart Beats <a href=""spotify:genre:edm_dance"">Dance music</a> for the heart <3"
525,"edm_dance Night Rider Dark and moody progressive <a href=""spotify:genre:edm_dance"">house</a> music for the late night highway."
526,"edm_dance Sad Beats <a href=""spotify:genre:edm_dance"">electronic</a> melancholy <3"
527,"edm_dance Trance Mission Setting sights on banging <a href=""spotify:genre:trance_progressive"">trance and progressive</a> with Ben Nicky."
528,edm_dance Beats to think to Focus with deep techno and tech house.
529,"edm_dance Shuffle Syndrome <a href=""spotify:genre:edm_dance"">Shuffle</a> your heart out. Cover: Öwnboss & Sevek"
530,edm_dance French Touch Some of the biggest french touch classics! Cover: Daft Punk
531,edm_dance Disco Hi-Life We just wanna rock you all night long.
532,edm_dance Pixel Garden Electro tunes for your virtual world.
533,edm_dance 303 Classics A collection of tracks produced with the legendary TB-303 rhythm composer. Cover: Richie Hawtin
534,"edm_dance vaporwave Ride the vaporwave and lose your soul in the 
  a e s t h e t i c ."
535,"edm_dance Dance Rising Tomorrow's <a href=""spotify:genre:edm_dance"">dance</a> hits, with J. Worra"
536,edm_dance planet rave ur on the list bb 🪐 featuring charli xcx & rina sawayama 
537,edm_dance Lowkey Tech Chill techno and tech house.
538,"edm_dance Dance Classics <a href=""spotify:genre:edm_dance"">Dance radio</a> hits from the 90s and 00s!"
539,"edm_dance ACRAZE's Operator Hey. It’s <a href=""https://hoo.be/acraze"">ACRAZE</a> and I'm taking over Operator with my favorite tunes to play out and just vibe to."
540,"edm_dance metropolis Hey, what's up, this is NEIL FRANCES, we're taking over the metropolis playlist. Here’s a playlist to soundtrack the night. Enjoy! 🌙 🦝 💥🪐✨"
541,edm_dance Genre Glitch Instrumental bliss beyond genre classification.
542,"edm_dance Dubstep Don All <a href=""spotify:genre:bass"">wobble</a>"
543,"edm_dance Orgánica This is a deep tribal sound, combining electronic elements and organic instrumentation, stemming from the folk music of Africa, Latin America, and the Middle East."
544,edm_dance Power Hour Tap it back or go for a spin with these uptempo tracks!
545,edm_dance New Year Dance Party!  明けましておめでとうございます！お正月のホームパーティーやにぎやかな食事のお供に。思わず体が動いてしまう楽曲で特別なひとときを。 
546,"edm_dance Detroit Techno Detroit <a href=""spotify:genre:techno"">Techno</a> Essentials. Cover: DJ Minx."
547,"edm_dance creamy A sprinkle of bass, warm vocal drizzle, and dreamy <a href=""spotify:genre:edm_dance"">dance music</a>. Featuring new music by Tails."
548,edm_dance 90s House Classics Essential club anthems from the golden era of house music. Cover: Kenny Dope and Little Louie Vega
549,edm_dance Main Stage Peak-time bangers and emerging future hits. Cover: Harris & Ford
550,edm_dance RetroWave / Outrun Equal parts nostalgic synthwave sounds and modern production.
551,edm_dance Hardstyle Bangers Only the biggest Hardstyle
552,edm_dance Electronic Rising The best new electronic music from Electronica to Techno. Cover: Digitalism
553,edm_dance Rave Classics Classic tunes that shaped and defined the 90s rave scene - a unique era for dance music.
554,rock VOLUME JAPAN 話題のグローバル・ロック・ヒッツをひとつのプレイリストに。Cover: Franz Ferdinand
555,rock All New Rock The best new tracks every week. Cover: The Faim
556,rock Rock This The newest from Sueco along with the top Rock songs you need to know.
557,rock J-Rock Now 日本ロックシーンの最新話題曲をひとつのプレイリストに。cover: 緑黄色社会
558,rock Rock Anthems Japan 10s 2010年代 J-Rockの名曲をひとつのプレイリストにコンパイル。
559,rock Rock Anthems Japan 90s 音楽史に名を刻んだ1990年代Japan Rockの名曲をひとつのプレイリストに。
560,"rock Rock Anthems Japan 80s 音楽史に名を刻んだ1980年代Japan Rockの名曲をひとつのプレイリストに。
"
561,"rock Rock Anthems Japan 00s 2000年代 J-Rockの名曲をひとつのプレイリストにコンパイル。
"
562,"rock Rock Classics Rock legends & epic songs spanning decades, that continue to inspire generations. "
563,rock Loud Rock Japan パンク、ハードコア、ミクスチャー等、国内外の様々なシーンと共鳴する日本のラウド・ロックを特集。Cover: Survive Said The Prophet
564,rock 90s Rock Anthems These songs rocked the 90s. Cover: Nirvana
565,rock Morning Loud!!! - めざましロック -  めざまし代わりにラウドな朝を。
566,rock Big in Japan The biggest rock artists in Japan right now! Cover: Tomoyasu Hotei
567,rock Pure Pop Punk Please stand for your personal anthems.
568,rock Rock Love Songs The romantic side of classic rock and metal
569,rock Soft Rock The great masterpieces of the genre.
570,rock 80s Soft Rock The best soft rock from the 1980s.
571,rock 00s Rock Anthems These songs rocked the 00s. Cover: Linkin Park
572,rock 70s Soft Rock The best soft rock from the 1970s.
573,rock Yacht Rock Cruise to the smooth grooves of these yacht rock tunes
574,"rock Legendary Great songs by indisputable music legends. Cover: David Bowie
"
575,rock Deep Dive: 70s Rock Any songs you forgot existed? Let's go deep into 70s rock!
576,"rock Psychedelic Rock Expand your mind with these psychedelic rock treasures. Cover: Jim Morrison 
"
577,rock Grunge Forever Grunge will live forever. Cover: Kurt Cobain
578,rock Emo Forever The standard emo anthems. Cover: Fall Out Boy 
579,rock 10s Pop Rock The essential pop rock songs from the 2010s. Cover: Coldplay.
580,"rock Garage Rock Revival Classic tracks with roots in post-punk, garage rock, and new wave. Cover: The Strokes"
581,rock Cool K'IDs Rock K'ID = Korean ID. Welcome to the K-Rock anthem! (Cover: verycoybunny(베리코이버니)) (핫한 국내 록음악을 만나보세요!)
582,rock Modern Rock Some recent music that fans of Modern Rock are listening to now.
583,"rock Legends Only New music and timeless tracks, from legends only. Rest in power, Meat Loaf.

"
584,rock Highway to Yell Hit the road and scream your heart out!
585,rock Shoegaze Classics The essential beautiful noise: sweet and sour fuzz to warm your heart. Cover: my bloody valentine
586,rock Deep Dive: 90s Rock Any songs you forgot existed? Let's go deep into 90s rock! Cover: Pixies.
587,rock misfits 2.0 welcome to our universe ft. Grimes
588,rock Indie Rock Club Welcome to Indie Rock Club. Cover: The White Stripes
589,rock 00s Soft Rock The best soft rock from the 2000s. Cover: Lifehouse.
590,rock Rock Party The ultimate rock party playlist!
591,rock Math Rock Welcome to the universe of complex rhythms and mesmerizing loops. Cover: toe
592,rock Rock School For an education in rock.
593,rock FORYOU it's a lifestyle / Cover: Jeris Johnson
594,"rock the locker_ let's rock, let's rock today \m/ ft. Games We Play"
595,rock Hard Rock For the Hard Rock and full volume lovers. Cover: Scorpions
596,rock 00s Pop Rock The essential pop rock songs from the 2000s. Cover: Kelly Clarkson.
597,rock 90s Soft Rock The best soft rock from the 1990s. Cover: Bryan Adams.
598,rock Deep Dive: 80s Rock Any songs you forgot existed? Let's go deep into 80s rock! Cover: Def Leppard.
599,rock Feel Good Rock Let a guitar put a smile on your face.
600,rock Modern Chill Rock Rock to relax. Enjoy!
601,rock 2000s Screamo When emo and hardcore fell hard for each other.
602,rock Beach Vibes Soak up these laid-back jams. 
